iter	Accuracy	Logloss
0	0.7461175659	0.6877669193
1	0.747613022	0.6837474579
2	0.7466927413	0.679026544
3	0.746347636	0.6743293862
4	0.7450822501	0.6705495463
5	0.7496836535	0.6654680393
6	0.7480731623	0.6615462379
7	0.7425514782	0.6574179306
8	0.742321408	0.6536183475
9	0.7414011273	0.6506917662
10	0.7465777062	0.6472932063
11	0.7472679167	0.6432755459
12	0.7441619694	0.640149061
13	0.7472679167	0.6370278352
14	0.7445070747	0.6334740946
15	0.7428965835	0.6299022077
16	0.7507189693	0.6266270498
17	0.7507189693	0.623677817
18	0.7512941447	0.6198309391
19	0.7520993903	0.6175914841
20	0.7514091798	0.6142862561
21	0.7529046359	0.6110230659
22	0.7535948464	0.607920171
23	0.754400092	0.6046616216
24	0.7519843552	0.6026682335
25	0.7531347061	0.5998229576
26	0.75163925	0.5978711199
27	0.7509490395	0.595394732
28	0.7520993903	0.5923941522
29	0.7533647763	0.5890499548
30	0.7522144254	0.5867007896
31	0.7532497412	0.5842485265
32	0.7525595307	0.5829078442
33	0.7532497412	0.5799234813
34	0.7541700219	0.5772575841
35	0.7549752675	0.5752366426
36	0.7553203727	0.573837642
37	0.7555504429	0.5721195685
38	0.7546301622	0.570109094
39	0.7546301622	0.5677779931
40	0.7546301622	0.5655109373
41	0.7553203727	0.5632755876
42	0.7568158288	0.5610304434
43	0.7579661797	0.5590565249
44	0.7586563902	0.5571860126
45	0.7586563902	0.5556868374
46	0.7585413551	0.5545029862
47	0.7587714253	0.5527121278
48	0.7595766709	0.5515546165
49	0.7599217761	0.5497368968
50	0.759691706	0.5484408209
51	0.7617623375	0.5462820634
52	0.7617623375	0.545158414
53	0.7615322673	0.5434222934
54	0.7611871621	0.5418616558
55	0.7606119867	0.5408002997
56	0.7611871621	0.5396171408
57	0.7616473024	0.5379207278
58	0.7619924077	0.5368920233
59	0.7623375129	0.5352553407
60	0.7622224779	0.5342290481
61	0.7621074428	0.5329012518
62	0.7623375129	0.5303554963
63	0.7619924077	0.5286964991
64	0.7623375129	0.5280188838
65	0.7634878638	0.5266504528
66	0.7634878638	0.525852032
67	0.7633728287	0.5245420138
68	0.7640630392	0.5234383314
69	0.7636028989	0.5216910202
70	0.763717934	0.5206224426
71	0.7639480041	0.5197860215
72	0.7639480041	0.518874746
73	0.7647532497	0.5182225442
74	0.7649833199	0.5172837438
75	0.7648682848	0.5166986542
76	0.7655584953	0.5154654179
77	0.7660186357	0.5149433631
78	0.7668238813	0.5141552416
79	0.7679742321	0.5132173683
80	0.7676291269	0.5128730364
81	0.7667088462	0.5122606582
82	0.7672840216	0.5107731991
83	0.7680892672	0.5094860004
84	0.7682043023	0.5085655203
85	0.7690095479	0.5076529424
86	0.7701598988	0.5067998738
87	0.7699298286	0.5061784735
88	0.77177039	0.5049493813
89	0.7726906707	0.5042320731
90	0.7729207408	0.5034317708
91	0.7730357759	0.5028773549
92	0.7729207408	0.5023780491
93	0.7726906707	0.5012565709
94	0.7736109513	0.5002043587
95	0.7738410215	0.4990445377
96	0.7736109513	0.4986343306
97	0.7741861268	0.4979837445
98	0.7738410215	0.4970091057
99	0.774531232	0.4965644718
100	0.7756815829	0.4959662087
101	0.7761417232	0.4951915274
102	0.7759116531	0.4945207025
103	0.7767168987	0.4937492323
104	0.7766018636	0.4930495629
105	0.7766018636	0.4925728826
106	0.7769469688	0.492014158
107	0.7772920741	0.4914717087
108	0.7776371793	0.4911449259
109	0.7775221443	0.4899223808
110	0.7775221443	0.4895727505
111	0.7782123548	0.4891358687
112	0.7780973197	0.4887284722
113	0.7787875302	0.4883139096
114	0.77855746	0.4871357621
115	0.7784424249	0.4865490647
116	0.7792476705	0.4859050518
117	0.7794777407	0.4847682685
118	0.7802829863	0.4840669836
119	0.7802829863	0.4835720162
120	0.7805130565	0.4830230363
121	0.7813183021	0.4826399868
122	0.781203267	0.4824311737
123	0.7817784424	0.4818631171
124	0.7817784424	0.4812554027
125	0.7821235477	0.4809819996
126	0.7828137582	0.4803832315
127	0.7830438284	0.4799436176
128	0.7832738985	0.4791140677
129	0.7829287933	0.4786050617
130	0.7830438284	0.4783265336
131	0.7833889336	0.4780115805
132	0.7837340389	0.4774515364
133	0.7843092143	0.4769529356
134	0.7846543196	0.4766351286
135	0.7845392845	0.4763527871
136	0.7854595652	0.4758583467
137	0.785229495	0.4753660507
138	0.7858046704	0.4749941382
139	0.7861497757	0.4743770533
140	0.7860347406	0.47411194
141	0.7863798459	0.4735771714
142	0.7867249511	0.4733614568
143	0.7868399862	0.4730121578
144	0.7871850915	0.472729043
145	0.7870700564	0.4723057548
146	0.7870700564	0.4716239282
147	0.787875302	0.471377081
148	0.7886805476	0.4710660668
149	0.7884504774	0.4706442105
150	0.7883354423	0.4701860175
151	0.7889106177	0.4699483705
152	0.789255723	0.4694890277
153	0.7894857932	0.4692704812
154	0.7901760037	0.4688495046
155	0.7897158633	0.4681229542
156	0.7899459335	0.4677103685
157	0.7907511791	0.467356253
158	0.7907511791	0.4670126928
159	0.7910962844	0.4666953674
160	0.7915564247	0.4659501201
161	0.7921316001	0.4656809581
162	0.7925917405	0.4653261742
163	0.7924767054	0.4651355742
164	0.7929368457	0.4647996359
165	0.7935120212	0.464481453
166	0.7937420913	0.463872185
167	0.7937420913	0.4635232753
168	0.7942022317	0.4632487144
169	0.7942022317	0.4627657753
170	0.7943172668	0.4620406153
171	0.7947774071	0.4617827298
172	0.7943172668	0.4613741752
173	0.794662372	0.4608983133
174	0.7948924422	0.4605500898
175	0.7950074773	0.4603498757
176	0.7948924422	0.4600306713
177	0.7952375475	0.4597007713
178	0.7954676176	0.4595584272
179	0.7954676176	0.4592551797
180	0.7958127229	0.4588798314
181	0.7955826527	0.4585296097
182	0.7954676176	0.4582564942
183	0.7956976878	0.4579357645
184	0.7956976878	0.4576837103
185	0.7955826527	0.4573889139
186	0.7955826527	0.4569800269
187	0.7963878983	0.456489091
188	0.7962728632	0.4560731766
189	0.7962728632	0.4557741622
190	0.7960427931	0.4555151573
191	0.7962728632	0.4551841369
192	0.7961578281	0.4549029668
193	0.7967330036	0.4547306747
194	0.7963878983	0.4543096621
195	0.7965029334	0.4540746154
196	0.7963878983	0.4538594218
197	0.7965029334	0.4536241612
198	0.7967330036	0.453429125
199	0.7967330036	0.4531301731
200	0.7968480387	0.4525893707
201	0.7976532843	0.4522192141
202	0.7978833544	0.4519841654
203	0.7982284597	0.4515484014
204	0.7979983895	0.4513231169
205	0.7983434948	0.4510896744
206	0.7982284597	0.4508842986
207	0.7984585299	0.4506370329
208	0.7989186702	0.4502774624
209	0.7989186702	0.4500770466
210	0.7996088807	0.4497416059
211	0.7996088807	0.4493722655
212	0.7998389509	0.4491665359
213	0.7998389509	0.4488452827
214	0.7993788105	0.4484372982
215	0.7996088807	0.4482632661
216	0.7996088807	0.4480439926
217	0.8001840561	0.4477540497
218	0.8001840561	0.4476042972
219	0.8001840561	0.4474812151
220	0.8002990912	0.4472376768
221	0.799953986	0.447114549
222	0.8006441965	0.4469196092
223	0.8004141263	0.4465596033
224	0.8007592316	0.4464290937
225	0.8008742667	0.4459670199
226	0.8005291614	0.4456381911
227	0.8008742667	0.4454634821
228	0.8011043368	0.4452731086
229	0.801334407	0.4446495818
230	0.8012193719	0.4440012411
231	0.8009893017	0.4437094684
232	0.8007592316	0.443559572
233	0.8002990912	0.4433873586
234	0.8009893017	0.4430162326
235	0.8007592316	0.4427410025
236	0.8007592316	0.4424526427
237	0.8006441965	0.4423006156
238	0.8002990912	0.4419230097
239	0.8006441965	0.441782511
240	0.8005291614	0.4416412709
241	0.8004141263	0.4413512791
242	0.8004141263	0.4411239169
243	0.8004141263	0.4408205105
244	0.8004141263	0.4404724028
245	0.8004141263	0.4400128029
246	0.8004141263	0.4399148544
247	0.8004141263	0.4397546468
248	0.8006441965	0.4396361831
249	0.8008742667	0.4393475127
250	0.8006441965	0.4391536448
251	0.8005291614	0.4390444748
252	0.8004141263	0.4389129789
253	0.8007592316	0.4387436602
254	0.8008742667	0.438436111
255	0.8007592316	0.4381331685
256	0.8008742667	0.4379419457
257	0.8006441965	0.4377295536
258	0.8005291614	0.4375994117
259	0.8004141263	0.4373703025
260	0.8005291614	0.4371761131
261	0.8014494421	0.4369290918
262	0.8011043368	0.4366950378
263	0.8011043368	0.4365331325
264	0.801334407	0.4363951058
265	0.8014494421	0.4362063641
266	0.8009893017	0.4358903151
267	0.8011043368	0.4356978571
268	0.801334407	0.4353451797
269	0.8011043368	0.4351999724
270	0.8015644772	0.4350377287
271	0.801334407	0.4349143319
272	0.8015644772	0.4347693421
273	0.8015644772	0.4346220102
274	0.8019095824	0.434518763
275	0.8021396526	0.4342867338
276	0.8020246175	0.4338397197
277	0.8021396526	0.4335707842
278	0.8020246175	0.4334933175
279	0.8024847579	0.4332380975
280	0.8028298631	0.4329598348
281	0.8029448982	0.4327922886
282	0.8025997929	0.4324955151
283	0.8028298631	0.4323169824
284	0.8028298631	0.4320138338
285	0.8028298631	0.4318345444
286	0.8028298631	0.4317633351
287	0.8031749684	0.4315601602
288	0.8029448982	0.4314196277
289	0.8030599333	0.4313330177
290	0.8030599333	0.4312239639
291	0.8031749684	0.4310939539
292	0.8034050385	0.430983319
293	0.8035200736	0.4306629964
294	0.8035200736	0.4303494008
295	0.8034050385	0.4300975545
296	0.8032900035	0.429947302
297	0.8036351087	0.4295915889
298	0.8036351087	0.4294903215
299	0.8037501438	0.4293076799
300	0.8036351087	0.4290751666
301	0.8037501438	0.4287907563
302	0.8035200736	0.4285587611
303	0.8036351087	0.4283780907
304	0.8037501438	0.428274976
305	0.8040952491	0.4280077956
306	0.8036351087	0.4279113025
307	0.8035200736	0.4278237833
308	0.8038651789	0.4277058705
309	0.803980214	0.4275245776
310	0.8038651789	0.4273440798
311	0.8040952491	0.4272076263
312	0.8042102841	0.42703297
313	0.8042102841	0.4266981837
314	0.8040952491	0.4265642476
315	0.8043253192	0.4263882373
316	0.8046704245	0.4262418781
317	0.8043253192	0.4260769775
318	0.8044403543	0.4259642447
319	0.8046704245	0.4258666762
320	0.8049004947	0.4255001919
321	0.8046704245	0.425261115
322	0.8049004947	0.4250226945
323	0.8049004947	0.4249244561
324	0.8049004947	0.4248482814
325	0.8049004947	0.4246653757
326	0.8050155297	0.4245504682
327	0.8050155297	0.4244259979
328	0.8049004947	0.4243267519
329	0.8049004947	0.4238945241
330	0.8046704245	0.4237711671
331	0.8046704245	0.4234632676
332	0.8050155297	0.4232063993
333	0.8047854596	0.4231454887
334	0.8046704245	0.4230725354
335	0.8050155297	0.4229856359
336	0.8046704245	0.4227052103
337	0.8047854596	0.4225750556
338	0.8051305648	0.422377048
339	0.805360635	0.4222351478
340	0.8052455999	0.4220711092
341	0.8051305648	0.4219516991
342	0.8051305648	0.4216968999
343	0.8051305648	0.4215617775
344	0.8049004947	0.4214143972
345	0.8051305648	0.421377102
346	0.8051305648	0.4210817945
347	0.805360635	0.4209743739
348	0.8051305648	0.4207784952
349	0.8054756701	0.420606047
350	0.8052455999	0.4204245913
351	0.8052455999	0.420288305
352	0.8052455999	0.4201112203
353	0.805360635	0.4198656941
354	0.805360635	0.4197150345
355	0.8057057403	0.4195291084
356	0.8057057403	0.4194227804
357	0.8057057403	0.419271326
358	0.8059358104	0.4190988454
359	0.8058207753	0.4190100257
360	0.8058207753	0.4189208315
361	0.8059358104	0.4187636478
362	0.8059358104	0.4186633619
363	0.8062809157	0.4185837542
364	0.8059358104	0.4184638517
365	0.8065109859	0.4182403949
366	0.8063959508	0.4181121926
367	0.8066260209	0.4178326698
368	0.806741056	0.4176338571
369	0.8068560911	0.4175727909
370	0.8068560911	0.4175171752
371	0.8069711262	0.4172864026
372	0.8070861613	0.4171349253
373	0.8065109859	0.4169596583
374	0.8065109859	0.4168692202
375	0.8066260209	0.4167919367
376	0.8072011964	0.4166797705
377	0.8070861613	0.4165933139
378	0.8072011964	0.416537398
379	0.8072011964	0.4163728596
380	0.8072011964	0.4163119873
381	0.8074312665	0.4162295423
382	0.8074312665	0.4160423882
383	0.8076613367	0.4158820704
384	0.8076613367	0.4157653842
385	0.8076613367	0.4156871342
386	0.8078914069	0.4156280696
387	0.8078914069	0.4155432409
388	0.8078914069	0.4154860359
389	0.8077763718	0.415375233
390	0.808006442	0.4153155252
391	0.8081214771	0.4151761665
392	0.8081214771	0.4151006036
393	0.8081214771	0.415009663
394	0.8082365121	0.4148545872
395	0.8081214771	0.4147201473
396	0.8082365121	0.4146605916
397	0.8083515472	0.4145723304
398	0.8084665823	0.4144491388
399	0.8086966525	0.4142002184
400	0.8084665823	0.4141435175
401	0.8084665823	0.414111688
402	0.8085816174	0.4139644224
403	0.8085816174	0.4138674374
404	0.8085816174	0.4137434484
405	0.8089267227	0.4135696164
406	0.8089267227	0.4135226487
407	0.8083515472	0.4133475271
408	0.8083515472	0.4132402864
409	0.8083515472	0.4130679401
410	0.8085816174	0.4130126893
411	0.8086966525	0.4128779543
412	0.8089267227	0.4127512654
413	0.8092718279	0.412459268
414	0.8091567928	0.4123904351
415	0.8095018981	0.4122008317
416	0.8092718279	0.4120175734
417	0.8091567928	0.4119094818
418	0.8091567928	0.411755525
419	0.8090417577	0.4116454296
420	0.8090417577	0.4116236823
421	0.8090417577	0.4115269881
422	0.8092718279	0.4114427826
423	0.809386863	0.411285214
424	0.8091567928	0.4111721218
425	0.809386863	0.4111285244
426	0.8090417577	0.4109937061
427	0.8091567928	0.4108628066
428	0.8091567928	0.4108315485
429	0.8090417577	0.4107303172
430	0.8091567928	0.4106605865
431	0.8095018981	0.4105868072
432	0.8096169332	0.4105380282
433	0.8096169332	0.4104196334
434	0.8096169332	0.4103333368
435	0.809386863	0.410199212
436	0.809386863	0.4101365178
437	0.8095018981	0.4101002206
438	0.8097319683	0.4100277454
439	0.8097319683	0.4096220771
440	0.8098470033	0.4095215698
441	0.8098470033	0.4093991571
442	0.8098470033	0.4092898834
443	0.8097319683	0.4090030419
