iter	Passed	Remaining
0	145	196481
1	151	102270
2	155	70001
3	159	53833
4	164	44191
5	168	37732
6	172	33108
7	176	29721
8	181	27010
9	184	24811
10	189	23042
11	193	21641
12	198	20471
13	202	19389
14	207	18519
15	212	17704
16	215	16961
17	219	16290
18	224	15752
19	228	15214
20	233	14785
21	237	14378
22	242	14002
23	247	13707
24	252	13411
25	257	13140
26	262	12873
27	267	12632
28	271	12375
29	275	12132
30	279	11908
31	283	11710
32	288	11535
33	292	11353
34	297	11200
35	302	11044
36	306	10909
37	311	10770
38	316	10639
39	320	10500
40	325	10393
41	330	10299
42	334	10185
43	339	10088
44	344	9994
45	348	9902
46	353	9819
47	358	9747
48	362	9650
49	368	9593
50	372	9507
51	378	9451
52	382	9379
53	386	9298
54	391	9223
55	396	9164
56	400	9105
57	405	9052
58	409	8977
59	414	8918
60	418	8854
61	422	8794
62	427	8743
63	432	8709
64	437	8668
65	442	8629
66	447	8584
67	452	8541
68	457	8507
69	462	8467
70	467	8427
71	472	8407
72	477	8369
73	482	8336
74	488	8310
75	492	8270
76	496	8226
77	501	8189
78	506	8168
79	513	8159
80	517	8122
81	521	8083
82	525	8038
83	529	8000
84	533	7952
85	537	7910
86	541	7867
87	545	7834
88	549	7797
89	553	7763
90	557	7727
91	562	7709
92	567	7679
93	572	7665
94	579	7662
95	583	7629
96	587	7597
97	592	7580
98	596	7554
99	601	7529
100	605	7505
101	610	7475
102	614	7449
103	618	7421
104	624	7418
105	629	7396
106	633	7372
107	638	7351
108	643	7342
109	648	7327
110	655	7333
111	660	7311
112	664	7289
113	669	7273
114	674	7252
115	679	7238
116	684	7223
117	689	7207
118	693	7186
119	697	7165
120	702	7146
121	706	7122
122	710	7099
123	715	7086
124	720	7069
125	724	7052
126	729	7036
127	733	7012
128	739	7008
129	744	6993
130	748	6979
131	752	6956
132	756	6934
133	760	6912
134	764	6892
135	768	6870
136	772	6853
137	777	6839
138	781	6818
139	785	6797
140	789	6776
141	792	6756
142	796	6736
143	800	6715
144	804	6696
145	808	6682
146	813	6667
147	817	6648
148	821	6633
149	825	6613
150	829	6594
151	833	6577
152	837	6562
